Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
Naidu,,India,Indian Federation of Central Europe,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Naim,Sardar Mohammad,Afghanistan,Minister for Foreign Affairs; Deputy Prime Minister,AAConfBandung,"Afghan n.p.; ""Report from the Chinese Foreign Ministry, 'Attitudes of Various Countries towards the Asian-African Conference on the Eve of the Conference'; Seperempat Abad 49",,,,,,,,,,,,
Nambias,A. C. N. ,India,Hindoo daily newspaper,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Naoroji,Dadabhai,India,Intellectual & Politician,1PanConf,"Tony Martin, Pan-African Connection: From Slavery to Garvey and Beyond (Dover: Majority Press, 1985), p. 207.",,,,,,,,,,,,
Naqqache,Alfred,Lebanon,Foreign Minister; former President and Prime Minister of French Mandate Lebanon,AAConfBandung,Abdulgani 61,,,,,,,,,,,,
Narcisse,DanaÃ©,France,member of comitÃ© de dÃ©fense de la race nÃ©gre,WAC,"Hakim, 67",,,,,,,,,,,,
Nashashibi,Azmi,Jordan,Adviser,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Nasser,Gamal Abdel (Jamal Abd al-Nasser),Egypt,Prime Minister; President of the Council of Ministers; President of the Revolutionary Command Council,AAConfBandung,"""Report from the Chinese Foreign Ministry, 'Several Distorted Views on the Asian-African Conference'""; ""Indonesia - Asian-African Conference Archives""; Wright, Colored Curtain 1033; Seperempat Abad 49",AAPC,Adi & Sherwood Pan-African History 141,3AAPC,Adi & Sherwood 141,,,,,,,,
Natarajan,T. J. ,India,"Deputy Secretary, Ministry of External Affairs",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Nazif,Mohammed,Dutch East Indies,Perhimpounan Indonesia,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Nazir,Fuad,Saudi Arabia,"Functionary, Foreign Affiars",AAConfBandung,Seperamat 43,,,,,,,,,,,,
Nazir Datuk Pamontjak,,Indonesia,Lawyer; Government minister; Foreign affairs,AAConfBandung,,,,,,,,,,,,,
Nearing,Scott,United States,,WAC,"Makalani, In the Cause of Freedom 139",,,,,,,,,,,,
Nehru,Jawahar Lai,India,later Prime Minister of India/Indian National Congress,WAC,"Adi, Pan-Africanism 197; ""League Against Colonial Oppression"" booklet",AAConfBandung,"""Report from the Chinese Foreign Ministry, ""Attitudes'""; ""Summary of the Talks between Premier Zhou and Nehru and U Nu""; Wright, Colored Curtain 1033",,,,,,,,,,
Nejedelif,,Czechoslovakia,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ngala,Ronald,Kenya,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Nguyen Phuong Thiep,,Vietnam,,AAConfBandung,,,,,,,,,,,,,
Nguyen Van Thoai,,Vietnam,Official of Ministry of Foriegn Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Nho,Tan Van,Vietnam,Official of Ministry of Foriegn Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Nicol,Davidson (Abioseh),Sierra Leone,Diplomat; physician; writer; critic,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Nikolai Semenovich Tikhonov,,Russia,Writer,1AAWConf,,,,,,,,,,,,,
Njoto,,Indonesia,,1AAWConf,,,,,,,,,,,,,
Nkomo,Joshua,Southern Rhodesia,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Nkrumah,Kwame,Ghana,Politician; future PM of Ghana,5PanCong,"Geiss, ""Pan-Africanism"" 192",ConfA,Geiss The Pan-African Movement 382,PAF,"Bell et. al, W.E.B. Du Bois on Race and Culture",AAPC,Ad & Sherwood 66,2AAPC,Adi & Sherwood 66,,,,
Nnandi,Azikiwe,Nigeria,Governor,5PanCong,A Revised History for Advanced Level and Colleges: Part One,,,,,,,,,,,,
Nouth-Penn,,Cambodia,Member of the Supreme Royal Council; Prime Minister at some point?,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Nu,U ,Myanmar,Prime Minister,AAConfBandung,"Abdulgani 52; ""Summary of the Talks between Premier Zhou and Nehru and U Nu""; ""Indonesia - Asian-African Conference Archives""; Wright, Colored Curtain 1033; Seperempat Abad 49",,,,,,,,,,,,
Nu'ayma,Mikhail,Lebanon,Poet; Novelist; Philosopher,1AAWConf,,,,,,,,,,,,,
Nuriddin Akromovich Muhitdinnov,,Russia,Politician; Diplomat,1AAWConf,,,,,,,,,,,,,
Nyerere,Julius,Tanganyika,Prime Minister,AAPC,Adi & Sherwood 149,,,,,,,,,,,,
NyunaÃ¯,,Cameroon,,1IntBW,Babacar 992,,,,,,,,,,,,
Odok,Effiom,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Oestreich,Paul,Germany,professor,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ogbazzy,Blatta Dawit,Ethiopia,Vice-Minister in the Ministry of Foreign Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Ogull,Louis,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Ohn Sein,U ,Myanmar,Member of Parliament,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Ohta,Saburo,Japan,Ambassador to Burma; Politician; Diplomat,AAConfBandung,Ampiah 98,,,,,,,,,,,,
Okongwu,Nnodu,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Olivier,Sydney,United Kingdom,former governor in Jamaica,3PanCong,Geiss The Pan-African Movement 251,,,,,,,,,,,,
Oncken,Hermann,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Otehbeye,Tunji,Nigeria,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Ousmane,Sembene,Senegal,Novelist; Filmmaker,1AAWConf,Djagalov,,,,,,,,,,,,
Ovanesian,Rachia,Armenia,Poet; Editor,1AAWConf,,,,,,,,,,,,,
Oyono,F. ,Cameroon,,1IntBW,UNESCO 192; Babacar 992,,,,,,,,,,,,
Ozansoy,Hayreddin,Turkey,Lawyer; Diplomat; Professor,AAConfBandung,,,,,,,,,,,,,
Padma Bahadur Khatri,,Nepal,Military leader,AAConfBandung,,,,,,,,,,,,,
Padmore,George,Trinidad,Journalist; Author,ConfAP,"Geiss, The Pan-African Movement, 360",5PanCong,"Geiss, ""Pan-Africanism"" 192",PAF,"Geiss, The Pan-African Movement, 390",2LAI,International Communism and Transnational Solidarity: Radical Networks,AAPC,Adi & Sherwood 93,,,,
Palar,Lambertus Nicodemus,Indonesia,Ambassador to India,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Pamontjak,Nazir Datuk,Indonesia,"Head of Division, European and African Affairs",AAConfBandung,,,,,,,,,,,,,
Paquet,Alfons,Germany,writer & publicist,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Patnaik,Ananta,India,Writer (Odia),1AAWConf,,,,,,,,,,,,,
Patterson,William,United States,lawyer; ANLC,2LAI,"Makalani, In the Cause of Freedom 1; Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 324",,,,,,,,,,,,
Paul,Emmanuel C. ,Haiti,Ethnographer; journalist,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Payne,Ethel L. ,United States,Columnist for Chicago Defender,AAConfBandung,,,,,,,,,,,,,
Pazhwak,Abdul Rahman,Afghanistan,"Ministry of Foreign Affairs; Director, Section 3rd Political Deparment; Acting Director, United Nations Section",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Peace,Mrs. ,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Peters,Frau L. ,Germany,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Peters,Lucie,,communist,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Peterson,Dorthy R.,United States,Secretary,4PanCong,UMASS https://credo.library.umass.edu/view/pageturn/mums312-b040-i362/#page/1/mode/1up,,,,,,,,,,,,
Petioni,Dr. Chas. A. ,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
