Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
Saul,Ben,Palestine,Left-section of the Poale Zion,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Savage,Dr. R. Akiwande K.,West Indies,"delegate of the Afro-West Indian Literary Society, Edinburgh",1PanConf,"Geiss The Pan-African Movement 182; Adi, Pan-Africanism 148",,,,,,,,,,,,
Say,Mau,Cambodia,Secretary General of the Royal Supreme Council,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sayyid Hassan Awadalla,,Sudan,Politician,AAConfBandung,,,,,,,,,,,,,
Sayyid Mubarak Zarouk,,Sudan,Diplomat,AAConfBandung,,,,,,,,,,,,,
Schatz,Julius,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Schieffelin,William Jay,,Vice-Chairman,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Schiffer,Peter,Germany,communist,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
SchÃ_cking,Walter,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Seck,Assane,Senegal,,1IntBW,UNESCO 192; Babacar 992,,,,,,,,,,,,
Sei,Ito,Japan,Poet; Novelist; Translator,1AAWConf,,,,,,,,,,,,,
Seifert,Prof. Charles C. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Sekoto,G. ,South Africa,,1IntBW,UNESCO 192,,,,,,,,,,,,
Seldon,B.F.,,,1PanCong,A Session of the Pan-African Congress,3PanCong,The Crisis - Jan 1924 - Page 120,,,,,,,,,,
Sen,Moni,India,Indian Federation of central Europe,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Sen Wei,Li,China,Wahnsien Protest Committee,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Senghor,Lamine,France/North Africa,member of French Communist Party/Committee for the Defense of the Black Race,WAC,"Adi, Pan-Africanism 198; Makalani, ""An Incessant Struggle"" 188; ""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Senghor,Leopold SÃ©dar,Senegal,Scholar; poet; philosopher; statesman; later President of Senegal,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Sevunts,Gagerin,Armenia,Poet,1AAWConf,,,,,,,,,,,,,
Shahi,Agha,Pakistan,"Diplomat; Counselor in the Pakistan Embassy in Washington, DC",AAConfBandung,,,,,,,,,,,,,
Shaker,Abdel Magid,Tanganyika,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Shapiro,Mrs. Muriel,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Sharif,S. M. ,Pakistan,Professor; Government minister,AAConfBandung,,,,,,,,,,,,,
Shaykh Al-Ard,Midhat,Saudi Arabia,Doctor to King of Saudi Arabia,AAConfBandung,,,,,,,,,,,,,
Shridharani,Krishnalal,India,Writer (Gujarati),1AAWConf,,,,,,,,,,,,,
Siefried,Jules,France,President of the French National Association for the Rights of Women,,,,,,,,,,,,,,
Sihanouk,Norodom,Cambodia,Ex-King of Cambodia (at time of conf),AAConfBandung,"Abdulgani 53; ""Cable from Zhang Hanfu, 'Daily Report on the Activities of the Delegation',"" April 21, 1955; Wright, Colored Curtain 1054; Seperempat Abad 50",,,,,,,,,,,,
Simango,Kamba,Portuguese Angola,,3PanCong,"Vol. 27, No. 3 - â€_Magazine","Adi, Pan-Africanism 158 says he is from Mozambique",,,,,,,,,,,
Simmel,Georg,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Simmons,Roscoe Conklin,United States,Orator,1PanCong,Adejumobi; Contee 24,,,,,,,,,,,,
Sims,David H. ,United States,bishop/council member,ConfA,"Geiss, The Pan-African Movement, 382",,,,,,,,,,,,
Sinclair,Upton,,,2LAI,"BrÃ_ckenhaus, Policing Transnational Protest, 154",,,,,,,,,,,,
Singh,Gurbaksh,India,Poet (Punjabi),1AAWConf,,,,,,,,,,,,,
Singh,Harcharan,India,Writer (Punjabi); Dramatist (Punjabi),1AAWConf,,,,,,,,,,,,,
Singh,Nareshman,Nepal,Professor  ,AAConfBandung,,,,,,,,,,,,,
Singh,Rattan,Soviet Union,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Sinha,Tarini,India,Indian Bureau of the I. L. P. ,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Siri Sevali Thero,,Sri Lanka,,1AAWConf,,,,,,,,,,,,,
Smith,Dr. Tredwell,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Smith,Ferdinand C.,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Smith,Henry,United Kingdom,reverend,1PanConf,Geiss The Pan-African Movement 183,,,,,,,,,,,,
Smith,Miss Elsie,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Smith,Mrs. Stanley F. ,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
SocÃ©,Diop O. ,Senegal,,1IntBW,UNESCO 192; Babacar 992,,,,,,,,,,,,
Solanke,Lapido,,West African Students' Association,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Solenberger,Robert,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Solh,Sami,Lebanon,Politician; Prime Minister of Lebanon,AAConfBandung,"Abdulgani 61; ""Indonesia - Asian-African Conference Archives""",,,,,,,,,,,,
Sombart,Werner,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Sommers,Diane,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Sone,Eki,Japan,Politician,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sotomayor,Angel,Cuba,Federation of Labor,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Souvannarath,Tiao,Laos,Goverment minister,AAConfBandung,,,,,,,,,,,,,
Sovag Jung Thapa,,Nepal,Diplomat,AAConfBandung,,,,,,,,,,,,,
Spingarn,Arthur,United States,Captain; NAACP,2PanCong,"Fauset, ""Impressions""; ""110 Delegates""",ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,
Spingarn,Joel,United States,Professor,1PanCong,Adejumobi; Contee 24,,,,,,,,,,,,
Spingarn,Mrs. ,United States,NAACP,2PanCong,"Fauset, ""Impressions""; ""110 Delegates""",,,,,,,,,,,,
Springer,H. W.,Barbados,,ConfLCP,"Geiss, The Pan African Movement, 387",,,,,,,,,,,,
St. Jacques,Camille,France,from Union Intercoloniale,WAC,"Adi, Pan-Africanism 197-198; Makalani, ""An Incessant Struggle"" 189",,,,,,,,,,,,
Stewart,Ollie,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Stocker,Dr. Helene,Germany,Women's League for Peace,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Stocker,Walter,Germany,Member of the Reichstag,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Stockton,Sadie A.,,,4PanCong,UMASS,,,,,,,,,,,,
Strakhov,,,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Stuart,John,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Suarez,Bernardo,Venezuela,Venezuelan Labor Union,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Subardjo,Achmad,Indonesia,Government minister,AAConfBandung,,,,,,,,,,,,,
Sudjarwo Tjo Dronegoro,,Indonesia,,AAConfBandung,,,,,,,,,,,,,
Sugiarto,,Indonesia,Treasurer-General,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sukarno,,Indonesia,President of Indonesia,AAConfBandung,"""Report from the Chinese Foreign Ministry, 'Comments on the Asian-African Conference from Capitalist Ruled Countries After the Asian-African Conference',"" Wright, Colored Curtain 1033",,,,,,,,,,,,
Sunario,,Indonesia,Judge; Politician,AAConfBandung,"""Journal Entry of Ambassador Zhukov: Record of Conversation with the Indonesian Minister of Foreign Affairs, Sunario""",,,,,,,,,,,,
Surjohadikusumo,Roosseno,Indonesia,Architect; Professor; Government minister,AAConfBandung,,,,,,,,,,,,,
Sutarto,Hadisudibjo,Indonesia,Member of Parliamemtn,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Sutherland,Efua Theodor,Ghana,,1AAWConf,,,,,,,,,,,,,
Sutton,,Sierra Leone,,2PanCong,"""110 Delegates""",,,,,,,,,,,,
Sydykbekov,Tugelbay,Kyrgyzstan,Writer,1AAWConf,,,,,,,,,,,,,
Syed Tayyeb Husain,,Pakistan,Government minister,AAConfBandung,,,,,,,,,,,,,
Sylvain,Benito,Haiti & Ethiopia,Aide-de-Camp to Emperor Menelik of Ethiopia,1PanConf,Hooker 21; Schneer 182,,,,,,,,,,,,
Tafazzoli,Dhanguir,Iran,Member of Parliamemtn,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Tajibnapis,S. H. ,Indonesia,"Acting Head, Ministry of Foriegn Affairs",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Taka,Gisaburo,Japan,Businessman,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Takasaki,Tatsunosuke,Japan,Businessman; Politician,AAConfBandung,"Ampiah 98; ""Cable from Zhang Hanfu, 'Daily Activities Log',"" April 23, 1955,",,,,,,,,,,,,
Tani,Masayuki,Japan,Diplomat; Politician; former Foreign Minister,AAConfBandung,"Ampiah 98; ""Report from the Chinese Foreign Ministry, 'Attitudes'""",,,,,,,,,,,,
Tanner,Henry O.,,,2PanCong,"Fauset, ""Impressions""",,,,,,,,,,,,
Tawney,J. H. (Jeanette),United Kingdom,historian,3PanCong,Geiss The Pan-African Movement 252,,,,,,,,,,,,
Tawney,R.H.,United Kingdom,historian,3PanCong,"Adi, Pan-Africanism 167",,,,,,,,,,,,
Taylor,John Eldred,Sierra Leone,entreprenuer; initiator of the African Times and Orient Review,1URCong,"Adi & Sherwood Pan-African History, 2",2PanCong,Geiss The Pan-African Movement 243,5PanCong,Geiss The Pan-African Movement 401,PAF,"Geiss, The Pan-African Movement, 390",,,,,,
Taylor-Cummings,A. ,Sierra Leone,,ConfLCP,"Geiss, The Pan African Movement, 387",,,,,,,,,,,,
Tazhibayev,Abdila,Kazakhstan,Poet; Playwright,1AAWConf,,,,,,,,,,,,,
Tchibamba,Paul Lomani,Congo,,1IntBW,UNESCO 192,,,,,,,,,,,,
Tedjasukmana,S.  ,Indonesia,Head of Indonesian Chamber of Commerce,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Tefkros,Anttias,Cyprus,,1AAWConf,,,,,,,,,,,,,
TÃ©hÃ©ransky,A. ,Persia,Communist Party of Persia,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Than,Honi,Vietnam,,1AAWConf,,,,,,,,,,,,,
Thanh,Lu Dat,Vietnam,Official of Ministry of Foriegn Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Thant,U,Myanmar,Government official; Diplomat; later Secretary-General of the United Nations,AAConfBandung,Abdulgani 52,,,,,,,,,,,,
Tharin,Habib Ullah,Afghanistan,"Legation First Secretary, Jakarta",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Thein,Myint,Myanmar,"Judge, Supreme Court of Burma",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Thin,Tun,Ethiopia,Director of Central Statistical and Economic Departments,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Thin,Tun,Myanmar,Director of Central Statistical and Economic Departments,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Thoai,Duong Gia,Vietnam,Official of Ministry of Foriegn Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Thomas,K. Carl,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Thomas,Peter,Lagos,,2PanCong,"Geiss The Pan-African Movement 243; Fauset, ""Impressions""",,,,,,,,,,,,
Thompson,Dudley,Jamaica,politician,5PanCong,"Watson, The Pan-Africanists 2000",,,,,,,,,,,,
Thong,Pham Huy,Vietnam,,1AAWConf,"Liu, 163",,,,,,,,,,,,
ThÃ¶nnies,Ferdinand,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Thorogood ,James,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
TibÃ©rio,,Brazil,,1IntBW,UNESCO 192,,,,,,,,,,,,
Timsch,,Soviet Union,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Ting Chi,Chao,China,American Sun-Yat-Semist Society,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Tjondronegoro,Sudjarwo,Indonesia,Head of Permanent Delegation to the U.N.,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Tobias,Channing H.,United States,"International Committee, YMCA",2PanCong,"Notes from the 1919 Pan African Congress; ""110 Delegates""",ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,
Tobias,D.E.,United States,,1PanConf,,,,,,,,,,,,,
Tobing,F. L. ,Indonesia,Doctor; Government minister,AAConfBandung,"""Journal Entry of Ambassador Zhukov: Breakfast with Huang Zhen""",,,,,,,,,,,,
Toer,Pramoedya Ananta,Indonesia,Novelist; Essayist; Historian; Poet,1AAWConf,"Djagalov; Liu, 163",,,,,,,,,,,,
Tohir,Kaslan,Indonesia,"Functionary, Ministry of Agriculture",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Tokombaev,Aaly,Kyrgyzstan,Poet; Composer; novelist (Krygz),1AAWConf,,,,,,,,,,,,,
Toller,Ernst,Germany,Dramatist,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Torres,Henri ,France,attorney,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Toure,Ismail,Guinea,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
TourÃ©,Bachir,Senegal,,1IntBW,UNESCO 192; Babacar 992,,,,,,,,,,,,
TourÃ©,SÃ©kou,,,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,,,
Tring,Minh The,Vietnam,"Lt. General, Armed General",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Trinh Hoai Duc,,Vietnam,Journalist; Politician,AAConfBandung,,,,,,,,,,,,,
Trinh Hoai-Duc,,Vietnam,Assiten in rallying National Government of 1953,AAConfBandung,,,,,,,,,,,,,
Trinh Minh The,,Vietnam,Army Lieutenant-General,AAConfBandung,,,,,,,,,,,,,
Trotman,Mente B.,,,4PanCong,UMASS,,,,,,,,,,,,
Tsen Way,Wang,,member of the Canton gov't,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Tsereteli,Georgy,Georgia,Scientist; Linguist,1AAWConf,,,,,,,,,,,,,
Tun Sein,U ,Myanmar,"Permanent Secretary, Foreign Office",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Tun Win,U ,Myanmar,Minister for Information,AAConfBandung,Abdulgani 52; Seperempat Abad 49,,,,,,,,,,,,
Tursun-Zade,Mirza,Tajikistan,Poet  ,1AAWConf,,,,,,,,,,,,,
Tyabji,B. F. H. B. ,India,Government minister,AAConfBandung,,,,,,,,,,,,,
Ugarte,Manuel,Puerto Rico,writer & publicist,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ulug-zade,Satym,Tajikistan,Writer (Tajik),1AAWConf,,,,,,,,,,,,,
Umetaliev,Temirkul,Kyrgyzstan,Poet (Kyrgyz); Translator,1AAWConf,,,,,,,,,,,,,
Umgphakorn,Puey,Thailand,Economist; Government official,AAConfBandung,,,,,,,,,,,,,
Unwin,Mrs. Fisher,United Kingdom,,,"""110 Delegates""",,,,,,,,,,,,
Utuy Tatang Sontani,,Indonesia,Novelist (Sudanese; Indonesian),1AAWConf,,,,,,,,,,,,,
Uyehara,Etsujiro,Japan,Professor; Politician; Government Minister,AAConfBandung,,,,,,,,,,,,,
V. K. Krishna,Menon,India,Government minister,AAConfBandung,"""Summary of the Views of Afro-Asian Countries on the Taiwan Issue""",,,,,,,,,,,,
Vaidyanathan,,India,Commercial Secretary,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Van Cac,Duch,Indo-China,Constitutionalist Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Van Giao,Dunang,Indo-China,Constitutionalist Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Van Luc,Ngugen,Indo-China,Constitutionalist Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Van Overgergh,,Belgium,Belgian Peace Commission,1PanCong,The Pan-African Congress: A Report,,,,,,,,,,,,
Vandercook,John,Netherlands,,4PanCong,"Geiss, The Pan-African Movement",,,,,,,,,,,,
Varma,,India,,2PanCong,"Fauset, ""Impressions""",,,,,,,,,,,,
Vasconcelos,JosÃ©,Mexico/Puerto Rico,Philosopher; Radical,WAC,"Makalani, In the Cause of Freedom, 137",,,,,,,,,,,,
Vaughn,J. ,Nigeria,,1IntBW,UNESCO 192,,,,,,,,,,,,
Vempsey,Ly,France,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Vena,Zapata,Mexico ,Mexican Students Federation,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ventadour,,France,Secretary of the League Against Colonial Oppression,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Vernon,William Tecumseh,United States,Bishop,3PanCong,"Wilson, Sondra The Messenger Reader 2000 Vol. 6 page 8",,,,,,,,,,,,
Verri,,Italy,Journalist,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Violenes,Rev. G. C. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Visser,Ld. ,Holland,Secretary Communist Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Vu Quoc Thong,,Vietnam,,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Vu-Quoc-Thong,,Vietnam,"President, Council of State",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Vu-Van-Mau,,Vietnam,President of the Court of Appeal,AAConfBandung,,,,,,,,,,,,,
Wachuku,Ja-Ja Anucha,Nigeria,minister of foreign affairs,5PanCong,"Geiss, The Pan-African Movement, 401",,,,,,,,,,,,
Wade,Abdoulaye,Senegal,political scientist; later president of Senegal,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Wahab,Abdul,Afghanistan,"Director General, Central Supplies",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Wahal ,A. ,Sudan,,1IntBW,UNESCO 192,,,,,,,,,,,,
Waithayakon,Wan,Thailand,Royal Prince; Foreign Minister; Diplomat; later President of the United Nations General Assembly,AAConfBandung,"Wright, Colored Curtain 1059",,,,,,,,,,,,
Wajima,Eiji,Japan,Envoy,AAConfBandung,,,,,,,,,,,,,
Walker,Walter F.,Liberia,Consul General,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Wallace-Johnson,I. T. A. ,Sierra Leone,trade-union leader,5PanCong,"Geiss, The Pan-African Movement, 401",PAF,"Geiss, The Pan-African Movement, 390",,,,,,,,,,
Wallach,Mrs. Bertha,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Walling,William E.,United States,,1PanCong,Geiss The Pan-African Movement 238,,,,,,,,,,,,
Walree,Van,Holland,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Walters,Alexander,United States,Bishop of AME Zion Church; also president of the National Afro-American Council,1PanConf,"Tony Martin, Pan-African Connection: From Slavery to Garvey and Beyond (Dover: Majority Press, 1985), p. 207.; Hooker 21; Geiss ""The Pan-African Movement"" p. 182",,,,,,,,,,,,
Wang,K. K. ,China,Students Federation of Kwantung Province,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Wathana,Suwit,Thailand,Acting Director-General of Asia and Africa Department,AAConfBandung,,,,,,,,,,,,,
Wear Burton,John,Australia,High Commissioner,AAConfBandung,"Wright, Color Curtain 968; Black 264",,,,,,,,,,,,
Webb,Beatrice,United Kingdom,rep. of the Anti-Slavery and Aborigines Protection Society,2PanCong,Geiss The Pan-African Movement 242,,,,,,,,,,,,
Wei Ming,San,China,Wahnsien Protest Committee,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Weinstock,Louis,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Wells,H.G.,United Kingdom,Writer,3PanCong,Adejumobi,,,,,,,,,,,,
Weltfish,Dr. Gene,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Werner,Alice,United Kingdom,,2PanCong,"""110 Delegates""",,,,,,,,,,,,
Werth,LÃ©on,France,Man of Lettres,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Wesley,Charles H.,United States,historian,4PanCong,"Geiss, The Pan-African Movement",,,,,,,,,,,,
Weston,George A. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
White,Walter F.,United States,NAACP,2PanCong,"Adi, Pan-Africanism 153; Fauset, ""Impressions""; ""110 Delegates""",,,,,,,,,,,,
White Ovington,Mary,United States,welfare officer; co-founder NAACP,1URCong,Geiss The Pan-African Movement 217,,,,,,,,,,,,
Wickremesinghe,C. E. L. ,Sri Lanka,Publisher; Specialis in Foreign Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Wikramanajake,Eric Bird,Sri Lanka,Minister for Justice,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Wilkerson,Doxey,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Wilkinson,Ellen,United Kingdom,member of Parliament,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Williams,A. Wilberforce,United States,Chicago Defender,2PanCong,"Notes from the 1919 Pan African Congress [actually 1921]; Fauset, ""Impressions""; ""110 Delegates""",,,,,,,,,,,,
Williams,Eric,,,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,,,
Williams,Fannie Barrier,United States,,1PanConf,"Adi, Pan-Africanism 79",,,,,,,,,,,,
Williams,Henry Sylvester,Trinidad,Barrister,1PanConf,"https://newint.org//features/2000/08/05/simply/; per Hooker 21, Williams may have been inaccurately described as a barrister",,,,,,,,,,,,
Winkler,Paul,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Wirjopranoto,Sukardjo,Indonesia,"Head of Division, Asian/Pasific Affairs",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Wirpranoto,Sukardjo,Indonesia,General Advisor,AAConfBandung,,,,,,,,,,,,,
Wito,Tsiu,China,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Wittfogel,Karl August,Germany,communist,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Wooilhang,,Korea,Korean Authors and Journalists Federation,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Woolf,Leonard,United Kingdom,rep. of the Anti-Slavery and Aborigines Protection Society,2PanCong,Geiss The Pan-African Movement 242,,,,,,,,,,,,
Wright,Richard,United States,Writer; Journalist,AAConfBandung,,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,
"Wright, Jr. ",R.R.,United States,A.M.E. Church,2PanCong,"""110 Delegates""",,,,,,,,,,,,
Xiao,Kesen,China,Poet; Translator; Writer,1AAWConf,,,,,,,,,,,,,
Yadu Nath Khanal,,Nepal,English Professor; Politician,AAConfBandung,,,,,,,,,,,,,
Yakovlev,Anatole,,NY Consulate of the Soviet Union,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Yamada,,Japan/Germany,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Yamin,Muhamad,Indonesia,Politician; Lawyer,AAConfBandung,"""Zhou Enlaiâ€™s Report to the CCP Central Committee and Mao Zedong Regarding the Cultural Cooperation Issue,""",,,,,,,,,,,,
Yang,Mo,China,Novelist,1AAWConf,,,,,,,,,,,,,
Yang,Qiqing,China,Politician; Vice-Minister for Public Securty,AAConfBandung,,,,,,,,,,,,,
Yang,Shuo,China,Lyricist; Essayist; Politician,1AAWConf,,,,,,,,,,,,,
Yang,Zhou,China,Literary Critic; Deputy Director of the Propaganda Department of the Chinese Central Committee,1AAWConf,,,,,,,,,,,,,
Yashpal,,India,Writer (Hindu); Politican,1AAWConf,"Liu, 163",,,,,,,,,,,,
Yatu,,Uganda,advocate,5PanCong,"Geiss, The Pan-African Movement, 416",,,,,,,,,,,,
Yau,Mo,China,Federation of Chinese Workers,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ye,Jizhuang,China,Lawyer; Journalist; Minister for Foreign Trade,AAConfBandung,"""Regarding the Composition""; ""Cable from Zhang Hanfu, 'Second Daily Report on the Activities of the Delegation'""; Seperempat Abad 50",,,,,,,,,,,,
Yergan,Max,United States,executive director,ConfA,"Geiss, The Pan-African Movement, 382",AAConfBandung,,,,,,,,,,,
Yifru,Ketema,Ethiopia,"Director-General, Ministry of Foreign Affairs",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Young,Mrs. Charles,France,,2PanCong,"""110 Delegates""",,,,,,,,,,,,
Youssef,Ibrahim,Egypt,Egyptian National-Radical Party,WAC,"""League Against Colonial Oppression"" booklet",2LAI,"Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 324",,,,,,,,,,
Yuldashev,K. Y. ,Russia,,1AAWConf,,,,,,,,,,,,,
Zaheer,Sajjad,India,Poet (urdu); Journalist; Politician,1AAWConf,,,,,,,,,,,,,
Zahre Lian,U,Myanmar,Minister for Chin Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Zhou,Enlai,China,Prime Minister and Foreign Minister,AAConfBandung,"Abdulgani 150; ""Regarding the Composition""; ""Summary of the Talks between Premier Zhou and Nehru and U Nu""; Seperempat Abad 50",,,,,,,,,,,,
Zhou,Fatin Rustu,Turkey,Minister of State; Diplomat; Politician,AAConfBandung,"""Report from the Chinese Foreign Ministry, 'Several Distorted Views on the Asian-African Conference'""",,,,,,,,,,,,
Zwade,Gabre Heywot,Ethiopia,Permanent Representative of Ethiopia to the United Nations; Ambassador,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
,,France,Chairman of the Committee of Foreign Affairs of the French Chamber,1PanCong,The Pan-African Congress: A Report,,,,,,,,,,,,
