Event ID,Last Name,First Name,Country,Title,Citation,Notes
AAPC,Nkrumah,Kwame,Ghana,Prime Minister Ghana,Adi and Sherwood 66,
AAPC,Hunton,William Alphaeus,United States,Exec. Director,Adi and Sherwood 93,
AAPC,Padmore,George,Trinidad,Nurse,Adi and Sherwood 93,
AAPC,Mboya,Tom,Kenya,Gen. Secretary,Adi and Sherwood 149,
AAPC,Lumumba,Patrice Ã‰mery,Congo (Belgian),Politician,Adi and Sherwood 114,
AAPC,Fanon,Frantz,Martinique,psychiatrist & writer,Adi & Sherwood Pan-African History 66,Congress' Steering Committee member
AAPC,Nasser,Jamal Abd al-Nasir,"Egypt, becomes UAR",prime miniister then president,"Adi & Sherwood, Pan-African History, 141",
AAPC,Nyerere,Julius,Tanganyika,Prime Minister    ,"Adi & Sherwood, Pan-African History, 149",
AAPC,Murumbi,Joseph,Kenya,,"Adi & Sherwood, Pan-African History, 149",
